Player,Award
 Alex Caruso ,Yes
 Jrue Holiday ,Yes
 Jaren Jackson Jr. ,Yes
 Brook Lopez ,Yes
 Evan Mobley ,Yes
 Bam Adebayo ,Yes
 OG Anunoby ,Yes
 Dillon Brooks ,Yes
 Draymond Green ,Yes
 Derrick White ,Yes
 Giannis Antetokounmpo ,Yes
 Luka Dončić ,Yes
 Joel Embiid ,Yes
 Shai Gilgeous-Alexander ,Yes
 Jayson Tatum ,Yes
 Jaylen Brown ,Yes
 Jimmy Butler ,Yes
 Stephen Curry ,Yes
 Nikola Jokić ,Yes
 Donovan Mitchell ,Yes
 De'Aaron Fox ,Yes
 LeBron James ,Yes
 Damian Lillard ,Yes
 Julius Randle ,Yes
 Domantas Sabonis ,Yes
 DeMar DeRozan ,Yes
 Kevin Durant ,Yes
 Lauri Markkanen ,Yes
 Ja Morant ,Yes
 Pascal Siakam ,Yes
,Yes
 Anthony Edwards ,Yes
 Paul George ,Yes
 Tyrese Haliburton ,Yes
 Kyrie Irving ,Yes
 Zion Williamson ,Yes
Joel Embiid,Yes
Nikola Jokić,Yes
Giannis Antetokounmpo,Yes
Jayson Tatum,Yes
Shai Gilgeous-Alexander,Yes
Donovan Mitchell,Yes
Domantas Sabonis,Yes
Luka Dončić,Yes
Stephen Curry,Yes
Jimmy Butler,Yes
De'Aaron Fox,Yes
Jalen Brunson,Yes
Ja Morant,Yes
